epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,17701.4,0.97485,0.40942,1.01818,0.99906,0.99065,0.99499,0.76693,0.9605,0.3547,0.97841,0.0008516,0.0008516,0.0008516
31,18285.4,0.98159,0.40798,1.02317,0.99818,0.99221,0.99498,0.76086,0.95845,0.34957,0.98158,0.000812,0.000812,0.000812
32,18867.4,0.97995,0.39997,1.01752,0.99672,0.9961,0.99499,0.76698,0.96247,0.3478,0.98496,0.0007724,0.0007724,0.0007724
33,19470.2,0.9714,0.39686,1.01826,0.99922,0.99437,0.995,0.76551,0.97014,0.34259,0.98862,0.0007328,0.0007328,0.0007328
34,20069.2,0.96898,0.39421,1.01891,0.99604,0.99454,0.99482,0.76434,0.95956,0.34172,0.98571,0.0006932,0.0006932,0.0006932
35,20644.6,0.97121,0.39823,1.01812,0.99844,0.99513,0.99499,0.76796,0.96873,0.34012,0.9902,0.0006536,0.0006536,0.0006536
36,21223,0.96391,0.38526,1.01192,0.99843,0.99314,0.995,0.77044,0.95486,0.33647,0.98188,0.000614,0.000614,0.000614
37,21800.8,0.95781,0.38471,1.00874,0.99591,0.9961,0.99499,0.76513,0.95746,0.33323,0.98088,0.0005744,0.0005744,0.0005744
38,22385.9,0.96783,0.38529,1.01738,0.99844,0.99527,0.99499,0.7728,0.94546,0.32908,0.97809,0.0005348,0.0005348,0.0005348
39,22942.5,0.9457,0.37573,1.00769,0.99765,0.99332,0.99498,0.7714,0.95719,0.32954,0.97896,0.0004952,0.0004952,0.0004952
40,23525,0.94576,0.37144,1.00508,0.99765,0.99398,0.99498,0.76886,0.95406,0.32252,0.97776,0.0004556,0.0004556,0.0004556
41,24069.2,0.9431,0.34361,0.99368,0.99922,0.99213,0.99499,0.76953,0.95815,0.33591,0.98594,0.000416,0.000416,0.000416
42,24609.2,0.9388,0.34023,0.99509,0.99844,0.99501,0.995,0.77335,0.95938,0.33465,0.9847,0.0003764,0.0003764,0.0003764
43,25149.6,0.93402,0.3391,0.98837,0.99739,0.99922,0.995,0.7775,0.94856,0.32787,0.97994,0.0003368,0.0003368,0.0003368
44,25743.9,0.93194,0.3357,0.98992,0.99766,0.99753,0.995,0.77423,0.94794,0.32497,0.97281,0.0002972,0.0002972,0.0002972
45,26365.6,0.92077,0.32893,0.98758,0.99907,0.99376,0.995,0.77516,0.95717,0.3247,0.97975,0.0002576,0.0002576,0.0002576
46,26990.6,0.92571,0.32866,0.98599,0.99895,0.99454,0.995,0.7757,0.95011,0.31828,0.97548,0.000218,0.000218,0.000218
47,27618.7,0.91662,0.32625,0.98134,0.99859,0.99376,0.995,0.77678,0.94512,0.31781,0.97477,0.0001784,0.0001784,0.0001784
48,28243.7,0.91303,0.32162,0.98513,0.99939,0.99454,0.995,0.77545,0.94754,0.31708,0.97995,0.0001388,0.0001388,0.0001388
49,28867.8,0.90815,0.31902,0.98278,0.99766,0.99599,0.995,0.77782,0.94652,0.31385,0.97827,9.92e-05,9.92e-05,9.92e-05
50,29496.6,0.90478,0.31575,0.98181,0.99952,0.99454,0.995,0.77902,0.94762,0.31152,0.97767,5.96e-05,5.96e-05,5.96e-05
