epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.218,1.16181,1.33192,1.11825,0.96006,0.96025,0.98587,0.6941,1.04758,0.91349,1.0079,0.000663333,0.000663333,0.000663333
2,1152.31,1.12437,0.77282,1.08435,0.97373,0.96726,0.98906,0.68182,1.06721,0.65876,1.03702,0.00130367,0.00130367,0.00130367
3,1699.17,1.12758,0.66457,1.08608,0.98087,0.95938,0.98769,0.69125,1.08482,0.58362,1.04466,0.0019176,0.0019176,0.0019176
4,2251.82,1.11687,0.61853,1.08443,0.98816,0.97563,0.99316,0.70913,1.05563,0.51749,1.02555,0.0018812,0.0018812,0.0018812
5,2807.7,1.10032,0.58239,1.07863,0.98754,0.9735,0.98656,0.67855,1.10551,0.54278,1.04899,0.0018416,0.0018416,0.0018416
6,3363.12,1.08389,0.55532,1.07332,0.98895,0.98285,0.99261,0.68817,1.03862,0.51335,1.02133,0.001802,0.001802,0.001802
7,3975.34,1.07818,0.53369,1.06411,0.98749,0.98406,0.99405,0.71836,1.03882,0.45413,1.01821,0.0017624,0.0017624,0.0017624
8,4524.16,1.08723,0.53037,1.06866,0.9884,0.98207,0.99419,0.71782,1.02385,0.45262,1.01378,0.0017228,0.0017228,0.0017228
9,5078.13,1.05233,0.49837,1.0578,0.99448,0.98252,0.99449,0.726,1.01885,0.44542,1.0116,0.0016832,0.0016832,0.0016832
10,5627.47,1.05968,0.50768,1.06145,0.98861,0.97896,0.99417,0.72385,1.00951,0.45846,1.00895,0.0016436,0.0016436,0.0016436
11,6183.45,1.0388,0.49467,1.05303,0.99118,0.97818,0.99408,0.74183,0.99549,0.42839,1.00467,0.001604,0.001604,0.001604
12,6769.81,1.04421,0.49277,1.05875,0.9955,0.98207,0.99465,0.73106,1.00869,0.4223,1.01055,0.0015644,0.0015644,0.0015644
13,7326.62,1.05112,0.48088,1.05637,0.99231,0.98909,0.99483,0.72856,0.99919,0.41331,1.0037,0.0015248,0.0015248,0.0015248
14,7880.09,1.03536,0.47212,1.05136,0.98828,0.98604,0.9945,0.72039,1.02165,0.42269,1.00971,0.0014852,0.0014852,0.0014852
15,8432.38,1.03235,0.47126,1.04484,0.98899,0.99299,0.99449,0.73883,0.99884,0.41132,0.99763,0.0014456,0.0014456,0.0014456
16,9048.52,1.03219,0.46667,1.04507,0.99235,0.99221,0.99451,0.73966,0.97686,0.40032,1.00033,0.001406,0.001406,0.001406
17,9691.93,1.02506,0.45525,1.03663,0.99534,0.98831,0.99483,0.74008,0.98806,0.39331,0.9983,0.0013664,0.0013664,0.0013664
18,10332.8,1.02285,0.45715,1.0457,0.99764,0.98829,0.99485,0.74672,1.00016,0.39198,0.99686,0.0013268,0.0013268,0.0013268
19,10970.4,1.02202,0.45301,1.04076,0.99517,0.99221,0.99479,0.75058,0.98654,0.38737,0.99934,0.0012872,0.0012872,0.0012872
20,11618.2,1.01264,0.44547,1.03412,0.99685,0.98987,0.99491,0.74256,0.97533,0.38276,0.98883,0.0012476,0.0012476,0.0012476
21,12260.4,1.01607,0.44462,1.03336,0.99635,0.99143,0.99498,0.74825,0.96978,0.38217,0.9886,0.001208,0.001208,0.001208
22,12905,1.00381,0.43514,1.03387,0.99729,0.98909,0.99497,0.74543,0.97156,0.37225,0.98829,0.0011684,0.0011684,0.0011684
23,13548.8,0.99758,0.43217,1.03192,0.99686,0.98968,0.99495,0.75984,0.96495,0.3712,0.98448,0.0011288,0.0011288,0.0011288
24,14196.3,1.00665,0.43298,1.03154,0.99686,0.99046,0.99491,0.75828,0.97711,0.37237,0.98977,0.0010892,0.0010892,0.0010892
25,14769.2,0.99494,0.42615,1.02755,0.9928,0.99221,0.99495,0.74996,0.98408,0.37162,0.99572,0.0010496,0.0010496,0.0010496
26,15333.6,0.99536,0.42247,1.02638,0.99439,0.99454,0.99498,0.75423,0.97984,0.36228,0.99349,0.00101,0.00101,0.00101
27,15932.7,0.98093,0.41442,1.01742,0.99843,0.99414,0.99499,0.75914,0.9615,0.36096,0.9785,0.0009704,0.0009704,0.0009704
28,16532,0.99312,0.42098,1.02186,0.99693,0.99221,0.99499,0.75309,0.97101,0.35622,0.98675,0.0009308,0.0009308,0.0009308
29,17119,0.97895,0.4054,1.01957,0.99271,0.99454,0.99478,0.76343,0.96606,0.35232,0.98806,0.0008912,0.0008912,0.0008912
